LOYAL_CODE,TXN_DESC
10K_BUY_SC_ARD,ардын хувьцаа худалдан авсны
10K_BUY_SC_OTHER,хувьцаа худалдан авсны
10K_BUY_XOC_ARD,ардын хос худалдан авсны
10K_BUY_XOY_ARD,ардын xoy худалдан авсны
10K_CCA_TXN_ELITE,кредит карт гүйлгээний ардын эрх
10K_CCA_TXN_PREM,кредит карт гүйлгээний ардын эрх
10K_CHARGE_CUPCAKE,cupcake данс орлого хийсний
10K_CHARGE_CUPCAKE_1,cupcake дансандаа орлого нэмсэн
10K_CHARGE_LIFE_OLD,тэтгэврийн хуримтлал цэнэглэлтийн
10K_CHARGE_SAVINGS,итгэлцэл хадгаламж бонд орлого хийсний
10K_CHARGE_SAVINGS1,хугацаатай хадгаламжиндаа орлого хийсний
10K_CHARGE_SAVINGS2,итгэлцэлдээ орлого хийсний
10K_CHARGE_SAVINGS_K,хүүхдийн хадгаламжын орлого хийсний
10K_CHARGE_SPECIAL,зорилгот дансандаа орлого нэмсэний
10K_GAME,тоглоом тоглосны
10K_GET_LOTTO,lotto 6 42 авсан
10K_GET_PNP,pick n pay үйлчилгээний ардын эрх
10K_GET_PNP_HNY,pick n pay үйлчилгээний ардын эрх
10K_KIDS61,хүүхдийн хадгаламж нээсэн
10K_KRYPTOS,kryptos ресторанаар үйлчлүүлсэн
10K_KRYPTOS1,kryptos ресторанаар үйлчлүүлсэн
10K_OPEN_CUPCAKE,cupcake данс нээсний
10K_OPEN_HODL,hodl нээсний
10K_OPEN_LIFE,тэтгэврийн хуримтлал нээсний
10K_OPEN_SAVINGS,итгэлцэл хадгаламж бонд авсны
10K_OPEN_SAVINGS1,хугацаатай хадгаламж нээсэн
10K_OPEN_SAVINGS2,итгэлцэл нээсэн
10K_OPEN_SPECIAL,зорилгот данс нээсний
10K_PURCH_INSUR,даатгал авсны
10K_TRANSACTION,1к эрхийн гүйлгээний
10K_TRANSACTION_CARD,картын гүйлгээний
10K_TULBUR_TSES,төлбөр цэсийг ашигласанд
ACO,1к эрхийн гүйлгээний
ARDCOIN,ардкойн сургалтанд хамрагдсанд
ARD_10RDX,хамтдаа таая  crypto week
ARD_20RDX,хамтдаа таая  crypto week
ARD_30RDX,хамтдаа таая  crypto week
ARD_40RDX,хамтдаа таая  crypto week
ARD_ASSETS,хадгаламж нээж бидэнтэй нэгдсэн  crypto week
ARD_ASSETS1,хадгаламжиндаа орлого нэмсэнд  crypto week
ARD_BIT,ардкойн мерчантаас худалдан авалт хийсэнд  crypto week
ARD_BIT1,ардкойн 10 000 ходл урамшуулал crypto week
ARD_BIT2,ардкойн 1 000 ходл урамшуулал crypto week
ARD_BIT3,ардкойнтой хамт байсанд  crypto week
ARD_BIT4,ардкойн эзэмшигч  crypto week
ARD_BULGAN,хөрөнгө оруулагч үндэстэн арга хэмжээнд хүрэлцэн ирсэнд
ARD_CNF,хувьцаа эзэмшигч  крипто үндэстэн хк
ARD_CREDIT,хувьцаа эзэмшигч  crypto week
ARD_CREDIT1,итгэлцлийн орлогын  crypto week
ARD_CREDIT100,итгэлцэл нээсэн  хөрөнгө оруулагч үндэстэн
ARD_CREDIT2,cupcake орлогын  crypto week
ARD_CREDIT20,cupcake хуримтлалыг сонгосонд  хөрөнгө оруулагч үндэстэн
ARD_CREDIT3,баталгаажуулалт хийсэн  crypto week
ARD_CREDIT50,итгэлцэлдээ орлого нэмсэн  хөрөнгө оруулагч үндэстэн
ARD_IDAX,айдакс биржийн quiz д оролцсонд  crypto week
ARD_IDAX1,айдакс бирж демо арилжаанд оролцсонд  crypto week
ARD_IDAX2,айдакс бирж орлого хийсэнд  crypto week
ARD_IDAX3,айдакс бирж бүртгэл баталгаажуулсанд  crypto week
ARD_INSURANCE,даатгалын мэдээлэл авсанд  crypto week
ARD_INSURANCE1,тээврийн хэрэгслийн даатгал хийлгэсэнд  crypto week
ARD_INSURANCE2,даатгалын хөгжөөнт тоглоомонд оролцсонд  crypto week
ARD_KIDS,ard kids бүртгэл үүсгэсэнд  хүчтэй хамтдаа
ARD_KIDS20,таны хүүхэд ирээдүйн эзэн хөрөнгө оруулагч үндэстэн
ARD_LEASING,ирээдүйдээ хөрөнгө оруулсан  ард лизинг ххк
ARD_LOTTO,6 42 лоттод идэвхтэй оролцсонд  crypto week
ARD_MANAGEMENT,хөрөнгө оруулалтын түүхээ хуваалцанд  crypto week
ARD_MANAGEMENT1,хөрөнгө оруулагч үндэстэн санд нэгдсэн  crypto week
ARD_MANAGEMENT100,ухаалаг хөрөнгө оруулагч болсон танд баяр хүргэе хөрөнгө оруулагч үндэстэн
ARD_MANAGEMENT2,хамтдаа таая
ARD_MANAGEMENT200,ухаалаг хөрөнгө оруулагч болсон танд баяр хүргэе хөрөнгө оруулагч үндэстэн
ARD_MANAGEMENT30,ухаалаг хөрөнгө оруулагч болсон танд баяр хүргэе хөрөнгө оруулагч үндэстэн
ARD_MEF,mef youth арга хэмжээнд зочилсонд
ARD_MONGOLNET,монголнэт д нэгдсэнд  crypto week
ARD_PENSION,тэтгэврийн хуримтлалын мэдээлэл авсанд  crypto week
ARD_PENSION1,ирээдүйдээ хөрөнгө оруулах эхний алхамаа хийсэнд баяр хүргэе crypto week
ARD_PENSION2,ирээдүйдээ хөрөнгө оруулсан  crypto week
ARD_PENSION3,хуримтлалтай болсон түүхээ хуваалцсанд  crypto week
ARD_PENSION4,сошиал дахь найзууддаа мэдээлэл хүргэсэнд  crypto week
ARD_PENSION50,ирээдүйдээ хөрөнгө оруулсанд  хөрөнгө оруулагч үндэстэн
ARD_PENSIONOPEN50,ирээдүйдээ хөрөнгө оруулах эхний алхамаа хийсэнд баяр хүргэе хөрөнгө оруулагч үндэстэн
ARD_SEC,ухаалаг хөрөнгө оруулагч болсон  crypto week
ARD_SEC1,үнэт цаасны данс нээсэн  crypto week
ARD_SEC100,ухаалаг хөрөнгө оруулагчийн шинэ хэрэглэгч болсонд баяр хүргэе хөрөнгө оруулагч үндэстэн
ARD_SELFIE,crypto week selfie
ARD_UBX,ubx биржээр дамжуулан хөрөнгө оруулалт хийсэн  crypto week
